booking_id,passenger_id,flight_id,booking_date,status,seat_number
B1085,P1116,UK150,2026-03-24,PENDING,12A
B1086,P1627,SJ237,2026-02-16,CONFIRMED,5D
B1087,P1748,AI221,2025-05-08,CANCELLED,2F
B1088,P1477,SJ081,2026-03-25,PENDING,31A
B1089,P1104,UK189,2025-09-03,CANCELLED,25F
B1090,P1494,SJ068,2025-05-16,PENDING,31C
B1091,P1770,6F043,2025-08-18,PENDING,25D
B1092,P1045,UK187,2026-03-18,CONFIRMED,16D
B1093,P1822,UK074,2025-05-11,CONFIRMED,25E
B1094,P1330,UK004,2026-01-07,PENDING,24C
B1095,P1215,6F194,2025-07-30,CONFIRMED,14B
B1096,P1981,UK068,2026-01-03,PENDING,12B
B1097,P1959,6F017,2025-08-26,,34F
B1098,P1491,6F245,2025-10-15,,13D
B1099,P1812,6F254,2025-12-07,CONFIRMED,26E
B1100,P1921,UK077,2026-03-05,CONFIRMED,16D
B1101,P1844,AI029,2025-07-19,CONFIRMED,3D
B1102,P1448,SJ196,2025-10-06,INVALID,15F
B1103,P1535,AI242,2025-08-08,CANCELLED,20D
B1104,P1510,AI242,2025-09-12,CANCELLED,16E
B1105,P1457,SJ044,2025-09-11,CONFIRMED,19F
B1106,P1546,UK063,2025-09-01,CONFIRMED,21F
B1107,P1535,AI056,2025-05-19,CONFIRMED,30F
B1108,P1539,UK207,2025-10-11,CANCELLED,14B
B1109,P1483,UK166,2025-12-03,CANCELLED,33D
B1110,P1975,6F261,2025-12-17,PENDING,12B
B1111,P1999,UK134,2025-12-25,CANCELLED,34A
B1112,P1015,6F152,2025-10-02,PENDING,27A
B1113,P1570,SJ089,2025-11-23,CONFIRMED,5A
B1114,P1976,6F123,2025-09-26,CANCELLED,2E
B1115,P1242,AI025,2025-08-23,CONFIRMED,10A
B1116,P1949,6F030,2025-12-05,CONFIRMED,19B
B1117,P1206,SJ222,2025-09-02,CONFIRMED,28F
B1118,P1911,UK109,2026-04-03,CONFIRMED,34B
B1119,P1270,SJ117,2025-11-25,CANCELLED,21F
B1120,P1760,SJ142,2025-08-12,CONFIRMED,12D
B1121,P1993,SJ142,2025-06-01,PENDING,17C
B1122,P1778,AI030,2025-05-02,CANCELLED,20B
B1123,P1704,6F097,2025-09-23,CONFIRMED,8A
B1124,P1846,6F129,2025-05-23,CANCELLED,5C
B1125,P1729,6F181,2026-01-15,PENDING,27E
B1126,P1114,AI072,2025-10-20,CONFIRMED,10E
B1127,P1579,SJ154,2025-06-29,PENDING,2E
B1128,P1298,AI031,2026-04-08,CONFIRMED,10D
B1129,P1836,AI031,2025-09-18,PENDING,26F
B1130,P1482,6F158,2025-12-26,CONFIRMED,34E
B1131,P1396,6F184,2025-06-16,CANCELLED,1C
B1132,P1393,UK141,2025-06-20,CONFIRMED,10D
B1133,P1074,6F168,2025-12-29,CANCELLED,23D
B1134,P1977,6F051,2025-07-28,CONFIRMED,34C
B1135,P1481,6F047,2025-12-02,CONFIRMED,20E
B1136,P1102,UK156,2025-10-26,PENDING,28E
B1137,P1296,AI094,2025-09-01,PENDING,13E
B1138,P1177,AI038,2025-07-14,PENDING,6C
B1139,P1214,6F255,2026-01-19,CONFIRMED,29F
B1140,P1966,SJ025,2026-01-23,CONFIRMED,29D
B1141,P1314,SJ185,2025-10-28,CONFIRMED,9C
B1142,P1038,6F259,2026-01-21,CANCELLED,5C
B1143,P1258,6F073,2026-04-07,CANCELLED,15A
B1144,P1715,AI091,2025-09-26,CONFIRMED,6D
B1145,P1006,6F191,2025-08-23,PENDING,15D
B1146,P1048,UK228,2025-08-30,PENDING,25A
B1147,P1537,6F146,2026-03-25,PENDING,11E
B1148,P1160,6F068,2025-10-13,CONFIRMED,19A
B1149,P1868,SJ218,2026-01-08,PENDING,30F
B1150,P1175,UK083,2025-09-25,CONFIRMED,12A
B1151,P1590,SJ007,2026-01-18,CANCELLED,29B
B1152,P1001,AI077,2025-08-14,PENDING,27A
B1153,P1894,UK017,2025-12-20,CANCELLED,8D
B1154,P1454,6F229,2026-02-17,PENDING,24A
B1155,P1927,6F074,2025-10-08,CONFIRMED,6D
B1156,P1643,SJ088,2026-03-25,CONFIRMED,5E
B1157,P1275,SJ167,2025-06-28,CONFIRMED,18B
B1158,P1497,6F234,2025-07-20,CONFIRMED,22A
B1159,P1628,UK071,2025-12-10,PENDING,22F
B1160,P1675,AI178,2025-11-21,CANCELLED,29A
B1161,P1799,UK104,2025-11-14,CONFIRMED,12A
B1162,P1027,AI146,2025-04-22,INVALID,32D
B1163,P1332,SJ235,2025-11-10,CANCELLED,13D
B1164,P1000,6F209,2025-04-24,CONFIRMED,24A
B1165,P1187,AI129,2025-08-20,CANCELLED,2F
B1166,P1055,SJ141,2026-01-23,CONFIRMED,34D
B1167,P1546,SJ018,2026-02-02,CANCELLED,9F
B1168,P1111,UK120,2025-10-14,CANCELLED,11C
B1169,P1797,AI078,2025-11-15,CONFIRMED,11E
B1170,P1309,AI079,2025-09-14,PENDING,15E
B1171,P1035,UK087,2025-09-19,CANCELLED,21A
B1172,P1438,UK133,2026-01-17,CONFIRMED,8F
B1173,P1728,AI222,2025-06-01,CANCELLED,22E
B1174,P1591,6F049,2026-04-12,CANCELLED,19D
B1175,P1825,6F105,2026-01-29,PENDING,27D
B1176,P1594,SJ226,2025-04-17,CANCELLED,7C
B1177,P1576,SJ227,2025-07-29,CANCELLED,34D
B1178,P1324,6F034,2026-02-05,CONFIRMED,34E
B1179,P1639,SJ078,2025-10-03,CONFIRMED,33D
B1180,P1306,AI240,2026-04-10,PENDING,22F
B1181,P1533,SJ002,2026-03-29,CANCELLED,12E
B1182,P1727,AI044,2025-08-11,CANCELLED,3A
B1183,P1618,UK076,2025-06-22,CANCELLED,8C
B1184,P1108,6F232,2025-08-01,PENDING,28E
B1185,P1371,SJ228,2025-08-16,CANCELLED,25E
B1186,P1356,SJ074,2026-04-04,CONFIRMED,1B
B1187,P1180,UK229,2025-08-04,PENDING,7F
B1188,P1355,AI208,2026-04-04,CONFIRMED,6A
B1189,P1675,AI019,2025-11-23,CONFIRMED,14F
B1190,P1067,6F029,2025-05-23,PENDING,12B
B1191,P1291,6F018,2025-04-27,CONFIRMED,25B
B1192,P1691,AI059,2025-06-23,CANCELLED,7D
B1193,P1180,AI159,2025-05-22,PENDING,13D
B1194,P1465,6F091,2025-07-11,CONFIRMED,14F
B1195,P1433,6F084,2025-07-20,CANCELLED,10B
B1196,P1463,UK170,2026-01-15,CANCELLED,20C
B1197,P1680,UK212,2025-05-19,CONFIRMED,2E
B1198,P1913,SJ022,2025-06-16,INVALID,29A
B1199,P1533,SJ075,2025-12-13,PENDING,30E
B1200,P1065,UK177,2025-09-17,CONFIRMED,16B
B1201,P1020,UK206,2026-02-01,CANCELLED,3A
B1202,P1611,UK079,2025-04-29,CANCELLED,29C
B1203,P1383,UK040,2025-06-21,CONFIRMED,3B
B1204,P1811,AI034,2025-07-25,CONFIRMED,30A
B1205,P1614,UK034,2025-10-18,CONFIRMED,23F
B1206,P1558,AI088,2025-07-02,CONFIRMED,13A
B1207,P1038,AI128,2025-06-11,PENDING,26A
B1208,P1284,SJ052,2025-07-22,INVALID,9A
B1209,P1821,AI233,2025-12-15,PENDING,3A
B1210,P1601,AI012,2026-01-20,PENDING,3C
B1211,P1596,AI084,2025-07-07,CONFIRMED,34A
B1212,P1784,6F126,2025-07-08,PENDING,34B
B1213,P1335,SJ061,2025-06-16,CONFIRMED,2E
B1214,P1187,UK194,2025-08-14,,23B
B1215,P1670,AI135,2025-08-08,CANCELLED,28C
B1216,P1242,6F238,2025-12-09,CONFIRMED,10A
B1217,P1072,6F092,2026-03-19,CANCELLED,32C
B1218,P1478,AI213,2025-11-13,PENDING,2D
B1219,P1973,UK193,2026-02-15,CANCELLED,1B
B1220,P1560,6F178,2026-04-04,PENDING,29C
B1221,P1100,AI158,2026-03-06,CONFIRMED,19D
B1222,P1513,UK208,2026-03-30,PENDING,8A
B1223,P1755,6F056,2026-04-09,,15A
B1224,P1175,UK185,2025-10-26,CONFIRMED,1E
B1225,P1237,AI163,2026-01-13,PENDING,4D
B1226,P1909,AI112,2025-08-23,CONFIRMED,15C
B1227,P1058,AI227,2025-10-23,CANCELLED,12A
B1228,P1864,SJ083,2026-04-17,CONFIRMED,29D
B1229,P1098,UK073,2026-02-07,CONFIRMED,13F
B1230,P1953,6F169,2025-04-29,PENDING,6C
B1231,P1870,UK154,2026-04-06,CANCELLED,27D
B1232,P1953,SJ169,2025-10-06,CONFIRMED,32F
B1233,P1494,6F187,2025-05-13,CANCELLED,5F
B1234,P1946,UK210,2025-11-21,CANCELLED,33A
B1235,P1979,6F250,2025-12-23,PENDING,13D
B1236,P1513,AI062,2025-07-05,CONFIRMED,25A
B1237,P1754,AI047,2025-11-16,,15B
B1238,P1296,SJ186,2025-10-20,,8E
B1239,P1210,AI217,2025-11-17,CANCELLED,30A
B1240,P1122,UK100,2025-12-31,CONFIRMED,17A
B1241,P1228,UK116,2025-12-16,CONFIRMED,10A
B1242,P1593,6F036,2025-12-01,CANCELLED,26C
B1243,P1655,AI175,2026-01-22,CANCELLED,29E
B1244,P1387,UK051,2025-08-18,CONFIRMED,27D
B1245,P1139,6F201,2026-04-17,,26A
B1246,P1540,6F230,2026-04-09,CONFIRMED,33B
B1247,P1390,SJ138,2025-08-13,CANCELLED,15F
B1248,P1269,AI246,2026-03-04,PENDING,16B
B1249,P1758,6F179,2025-06-06,CANCELLED,26B
B1250,P1011,6F031,2026-01-28,CANCELLED,16F
B1251,P1866,UK015,2025-08-30,PENDING,29A
B1252,P1388,UK001,2025-04-21,CANCELLED,27C
B1253,P1336,6F133,2026-02-27,CANCELLED,15E
B1254,P1505,6F143,2025-07-22,CANCELLED,5D
B1255,P1105,UK165,2025-09-22,CANCELLED,23F
B1256,P1031,6F083,2025-08-10,CANCELLED,22B
B1257,P1073,AI082,2025-08-19,CANCELLED,11C
B1258,P1170,AI164,2025-10-28,CANCELLED,21F
B1259,P1848,SJ155,2026-01-19,CANCELLED,31F
B1260,P1068,AI189,2026-01-04,CANCELLED,1D
B1261,P1812,SJ057,2025-12-21,CONFIRMED,34A
B1262,P1361,SJ198,2025-05-07,CONFIRMED,16F
B1263,P1648,6F122,2026-01-03,CANCELLED,6C
B1264,P1432,SJ097,2026-04-15,CONFIRMED,12A
B1265,P1928,UK203,2025-08-06,PENDING,28F
B1266,P1995,UK093,2026-01-16,CONFIRMED,27F
B1267,P1099,AI205,2025-05-21,CANCELLED,32A
B1268,P1657,AI102,2026-01-16,INVALID,12A
B1269,P1008,6F046,2025-09-06,CONFIRMED,4C
B1270,P1573,SJ017,2025-06-02,,22E
B1271,P1696,6F156,2025-10-20,PENDING,28B
B1272,P1028,AI068,2025-07-18,PENDING,19A
B1273,P1892,AI150,2025-06-05,,28B
B1274,P1113,UK008,2025-10-15,PENDING,20D
B1275,P1461,6F166,2025-07-11,PENDING,18F
B1276,P1920,6F177,2025-07-15,CONFIRMED,1A
B1277,P1142,AI196,2026-01-19,PENDING,12E
B1278,P1389,SJ191,2025-08-09,CONFIRMED,5B
B1279,P1631,6F019,2025-05-10,,28C
B1280,P1681,AI226,2026-04-12,CONFIRMED,33B
B1281,P1156,SJ207,2026-01-21,CANCELLED,4A
B1282,P1334,AI009,2025-12-30,CANCELLED,8B
B1283,P1860,AI103,2025-05-08,INVALID,29D
B1284,P1259,SJ127,2026-02-22,CANCELLED,25F
B1285,P1081,UK188,2026-03-26,CANCELLED,25B
B1286,P1753,6F010,2025-09-25,INVALID,33B
B1287,P1440,SJ098,2025-12-13,CANCELLED,5F
B1288,P1944,6F058,2025-12-11,PENDING,18C
B1289,P1171,SJ030,2026-03-23,PENDING,24F
B1290,P1230,UK175,2025-07-26,CANCELLED,16F
B1291,P1719,SJ108,2026-04-01,PENDING,28E
B1292,P1074,6F075,2025-08-03,CONFIRMED,7C
B1293,P1269,UK222,2025-08-31,CONFIRMED,25F
B1294,P1898,6F250,2025-07-13,CANCELLED,34B
B1295,P1625,AI096,2025-12-29,CANCELLED,14B
B1296,P1061,AI216,2025-12-23,CANCELLED,1B
B1297,P1873,6F193,2026-01-23,PENDING,8A
B1298,P1319,SJ194,2026-01-02,PENDING,6C
B1299,P1101,SJ020,2025-09-11,CONFIRMED,16F
B1300,P1428,6F070,2025-06-14,PENDING,21C
B1301,P1873,AI051,2025-09-03,CONFIRMED,12A
B1302,P1721,UK219,2025-12-27,PENDING,3D
B1303,P1953,AI235,2025-12-13,CONFIRMED,20A
B1304,P1254,6F022,2025-12-13,INVALID,18E
B1305,P1531,SJ114,2025-09-28,PENDING,13C
B1306,P1569,SJ076,2025-12-01,CONFIRMED,30A
B1307,P1111,UK227,2026-01-26,PENDING,32E
B1308,P1984,UK135,2025-07-22,CANCELLED,30D
B1309,P1312,AI234,2025-05-06,CONFIRMED,30F
B1310,P1997,6F113,2025-08-20,PENDING,5D
B1311,P1460,SJ206,2025-11-16,PENDING,9D
B1312,P1707,AI015,2026-03-29,,6E
B1313,P1886,6F260,2025-05-16,CANCELLED,33E
B1314,P1461,AI061,2025-04-28,CONFIRMED,19C
B1315,P1864,6F237,2026-03-26,PENDING,9C
B1316,P1091,SJ099,2026-01-06,PENDING,27C
B1317,P1051,SJ146,2026-02-24,CANCELLED,21F
B1318,P1804,SJ146,2025-05-23,CANCELLED,29B
B1319,P1519,6F071,2025-05-04,CONFIRMED,4C
B1320,P1811,6F272,2025-08-13,PENDING,6C
B1321,P1097,SJ029,2026-02-12,PENDING,13A
B1322,P1235,UK084,2025-07-27,CONFIRMED,6E
B1323,P1900,SJ048,2026-02-06,CONFIRMED,14D
B1324,P1373,AI108,2026-02-04,CANCELLED,33B
B1325,P1580,SJ134,2025-08-11,CANCELLED,3B
B1326,P1926,UK146,2025-10-31,CONFIRMED,14F
B1327,P1556,SJ036,2025-09-24,CONFIRMED,26C
B1328,P1648,6F202,2025-11-01,PENDING,33B
B1329,P1233,UK041,2026-02-13,CONFIRMED,22C
B1330,P1031,6F078,2025-12-06,CONFIRMED,23A
B1331,P1288,AI097,2025-07-03,PENDING,22C
B1332,P1637,UK159,2026-01-15,CONFIRMED,7D
B1333,P1578,UK044,2025-09-06,CANCELLED,12B
B1334,P1541,6F176,2025-09-27,CANCELLED,6F
B1335,P1113,SJ221,2026-02-11,PENDING,4A
B1336,P1203,6F112,2025-07-03,CONFIRMED,22A
B1337,P1028,6F246,2025-10-20,INVALID,4C
B1338,P1642,6F014,2026-02-21,CANCELLED,14C
B1339,P1473,AI237,2025-09-17,CANCELLED,28A
B1340,P1696,6F003,2025-12-14,CANCELLED,12E
B1341,P1252,6F249,2025-07-04,CONFIRMED,5A
B1342,P1797,UK149,2025-04-29,CONFIRMED,4A
B1343,P1904,SJ163,2026-03-08,CONFIRMED,9F
B1344,P1921,SJ243,2026-03-28,CONFIRMED,1D
B1345,P1385,UK113,2025-06-06,CANCELLED,1A
B1346,P1061,AI071,2025-06-07,PENDING,30E
B1347,P1514,6F271,2026-02-07,PENDING,22A
B1348,P1429,SJ015,2025-06-05,CANCELLED,27E
B1349,P1579,UK047,2025-11-19,CANCELLED,9E
B1350,P1536,UK020,2026-02-04,PENDING,12A
B1351,P1690,AI122,2025-09-03,PENDING,27F
B1352,P1140,UK223,2025-10-20,CANCELLED,17D
B1353,P1742,6F148,2025-09-19,CANCELLED,15F
B1354,P1299,SJ162,2025-12-14,CONFIRMED,34A
B1355,P1674,6F127,2026-03-30,CONFIRMED,28B
B1356,P1310,AI173,2025-11-10,PENDING,11F
B1357,P1470,6F065,2026-02-05,,14A
B1358,P1392,AI053,2025-06-22,PENDING,20A
B1359,P1641,AI241,2025-10-22,CONFIRMED,14E
B1360,P1444,AI105,2025-06-15,,18D
B1361,P1757,AI110,2025-08-24,PENDING,13F
B1362,P1808,AI252,2025-10-22,CONFIRMED,15B
B1363,P1171,AI149,2025-12-14,CANCELLED,3B
B1364,P1575,AI224,2025-09-09,PENDING,23F
B1365,P1030,UK158,2025-07-03,CANCELLED,15B
B1366,P1046,6F125,2025-05-05,CANCELLED,25E
B1367,P1129,UK164,2025-12-14,CONFIRMED,18A
B1368,P1351,UK007,2025-12-26,CANCELLED,1E
B1369,P1977,6F118,2026-03-18,PENDING,15F
B1370,P1844,SJ004,2026-01-01,CANCELLED,19C
B1371,P1621,6F206,2025-09-25,CANCELLED,15E
B1372,P1580,SJ130,2025-05-11,CANCELLED,11D
B1373,P1057,SJ070,2026-02-14,CANCELLED,22F
B1374,P1105,AI085,2025-04-24,CANCELLED,7F
B1375,P1811,SJ109,2025-09-02,CONFIRMED,15B
B1376,P1329,AI168,2025-08-24,PENDING,16B
B1377,P1767,UK123,2025-10-24,CONFIRMED,26A
B1378,P1823,UK110,2026-01-16,PENDING,30D
B1379,P1682,AI206,2025-11-02,PENDING,31C
B1380,P1382,6F007,2026-04-16,PENDING,6B
B1381,P1984,SJ013,2025-11-11,PENDING,33A
B1382,P1161,UK061,2025-09-19,PENDING,20D
B1383,P1996,AI010,2025-09-24,CANCELLED,8C
B1384,P1285,AI024,2025-05-16,CONFIRMED,11D
B1385,P1070,UK130,2025-06-08,CONFIRMED,30B
B1386,P1766,AI161,2026-03-12,CANCELLED,10A
B1387,P1453,SJ208,2025-07-23,PENDING,24F
B1388,P1885,6F038,2025-09-23,INVALID,8D
B1389,P1566,6F085,2026-02-22,,30D
B1390,P1834,SJ028,2026-03-09,CANCELLED,8C
B1391,P1396,SJ084,2025-11-26,CONFIRMED,21F
B1392,P1514,AI139,2026-03-27,CONFIRMED,21D
B1393,P1025,UK179,2026-04-06,PENDING,26E
B1394,P1312,6F256,2025-07-23,PENDING,23F
B1395,P1125,UK023,2026-02-10,INVALID,23B
B1396,P1407,AI039,2025-08-03,,13E
B1397,P1564,UK190,2026-02-05,CANCELLED,28D
B1398,P1197,6F224,2026-02-04,PENDING,3E
B1399,P1810,UK221,2025-05-31,PENDING,7A
B1400,P1187,SJ107,2026-04-02,CANCELLED,12F
B1401,P1697,UK155,2025-04-20,,21D
B1402,P1816,UK183,2026-03-21,CANCELLED,7E
B1403,P1809,SJ203,2025-05-08,PENDING,26A
B1404,P1715,6F253,2026-03-07,INVALID,16A
B1405,P1483,AI100,2025-08-26,PENDING,32F
B1406,P1449,6F140,2025-06-24,CONFIRMED,15D
B1407,P1522,UK048,2025-08-26,CONFIRMED,25A
B1408,P1870,SJ204,2025-07-29,CONFIRMED,12F
B1409,P1353,UK105,2026-03-24,CONFIRMED,28C
B1410,P1985,AI098,2026-04-13,CONFIRMED,32C
B1411,P1657,6F013,2025-10-12,CANCELLED,1A
B1412,P1596,6F128,2025-11-18,CANCELLED,28E
B1413,P1099,SJ038,2025-10-05,,14A
B1414,P1615,SJ182,2026-01-07,CONFIRMED,25F
B1415,P1947,6F199,2026-03-22,PENDING,23B
B1416,P1557,SJ187,2025-08-17,CANCELLED,20B
B1417,P1555,AI182,2025-08-18,PENDING,8E
B1418,P1277,SJ027,2025-05-04,PENDING,19D
B1419,P1692,SJ062,2026-01-20,CONFIRMED,20E
B1420,P1698,SJ161,2026-02-24,CONFIRMED,27B
B1421,P1989,UK058,2025-10-03,,23C
B1422,P1625,AI181,2026-01-04,CANCELLED,12D
B1423,P1490,AI003,2025-06-12,CONFIRMED,14A
B1424,P1254,6F150,2025-11-05,CANCELLED,11D
B1425,P1380,SJ175,2025-06-28,CANCELLED,34E
B1426,P1891,6F041,2025-12-15,CANCELLED,17C
B1427,P1541,SJ040,2026-04-15,CANCELLED,16E
B1428,P1263,6F020,2025-06-17,CONFIRMED,27C
B1429,P1609,AI248,2025-05-08,CANCELLED,27B
B1430,P1824,SJ016,2026-02-08,CONFIRMED,11A
B1431,P1878,UK204,2025-11-21,CONFIRMED,31C
B1432,P1328,6F211,2025-09-02,CANCELLED,9B
B1433,P1114,SJ166,2025-05-07,CONFIRMED,5B
B1434,P1275,AI036,2025-10-19,PENDING,30C
B1435,P1487,SJ215,2025-09-18,CONFIRMED,1E
B1436,P1280,AI076,2026-01-05,CONFIRMED,20B
B1437,P1274,SJ012,2025-11-28,CANCELLED,24A
B1438,P1772,AI073,2026-04-01,,20D
B1439,P1842,SJ173,2025-11-09,CONFIRMED,27E
B1440,P1718,AI193,2026-03-09,CANCELLED,25E
B1441,P1895,SJ131,2025-09-22,INVALID,13A
B1442,P1327,AI225,2025-06-02,PENDING,11E
B1443,P1210,AI190,2025-10-09,CANCELLED,9E
B1444,P1726,SJ238,2025-12-25,CONFIRMED,7B
B1445,P1922,6F005,2025-12-21,PENDING,5F
B1446,P1551,UK136,2025-09-25,PENDING,23C
B1447,P1991,SJ063,2025-05-21,CONFIRMED,15F
B1448,P1025,6F175,2025-11-21,CANCELLED,9E
B1449,P1026,AI037,2025-05-23,PENDING,19A
B1450,P1701,UK225,2025-11-11,CONFIRMED,21C
B1451,P1082,AI141,2025-05-20,CONFIRMED,15E
B1452,P1895,6F172,2026-01-26,PENDING,3E
B1453,P1945,6F219,2026-02-07,CANCELLED,16F
B1454,P1681,AI045,2025-08-16,PENDING,8E
B1455,P1412,AI198,2026-04-12,CONFIRMED,30A
B1456,P1166,AI120,2025-04-24,PENDING,17F
B1457,P1699,6F134,2025-06-11,CANCELLED,32D
B1458,P1168,UK102,2025-11-19,CONFIRMED,10B
B1459,P1800,SJ199,2025-06-10,CANCELLED,1F
B1460,P1978,6F235,2025-10-01,PENDING,32E
B1461,P1228,UK065,2025-10-14,PENDING,33F
B1462,P1978,6F135,2025-12-03,CANCELLED,26D
B1463,P1608,SJ148,2026-02-10,PENDING,31C
B1464,P1366,AI083,2026-03-07,CANCELLED,6B
B1465,P1527,UK024,2025-07-02,PENDING,5C
B1466,P1790,UK220,2025-04-27,CANCELLED,28B
B1467,P1646,UK115,2025-04-30,CANCELLED,25A
B1468,P1537,AI255,2025-07-16,CONFIRMED,14F
B1469,P1863,6F001,2025-12-25,CONFIRMED,11A
B1470,P1523,6F132,2025-05-27,CANCELLED,24E
B1471,P1071,UK184,2026-03-28,PENDING,8E
B1472,P1644,6F098,2025-06-06,PENDING,3D
B1473,P1105,SJ168,2025-07-19,PENDING,21F
B1474,P1731,SJ178,2025-07-28,CANCELLED,14C
B1475,P1884,UK111,2026-03-07,CANCELLED,2C
B1476,P1964,SJ051,2026-02-27,CANCELLED,32E
B1477,P1688,SJ193,2025-07-06,CANCELLED,18E
B1478,P1281,SJ039,2026-02-24,CONFIRMED,28D
B1479,P1132,UK066,2025-12-17,CANCELLED,22B
B1480,P1533,SJ050,2026-03-14,PENDING,34B
B1481,P1974,6F052,2025-06-11,CONFIRMED,4D
B1482,P1268,SJ170,2025-08-29,PENDING,14E
B1483,P1411,SJ119,2025-06-09,,26B
B1484,P1672,AI219,2025-05-07,CONFIRMED,13B
