payment_id,booking_id,amount,payment_method,source_key_missing
PAY1126,B1260,9458.88,NETBANKING,0
PAY1127,B1584,13317.93,NETBANKING,0
PAY1128,B1685,5545.26,NETBANKING,0
PAY1129,B1231,6547.3,UPI,0
PAY1130,B1269,6692.76,UPI,0
PAY1131,B1939,8851.37,UPI,0
PAY1132,B1446,4197.73,UPI,0
PAY1133,B1873,12510.96,CARD,0
PAY1134,B1221,5138.43,UPI,0
PAY1135,B1051,10875.08,CARD,0
PAY1136,B1115,8185.02,UPI,0
PAY1137,B1537,9202.57,NETBANKING,0
PAY1138,B1564,3514.52,NETBANKING,0
PAY1139,B1876,11290.32,NETBANKING,0
PAY1140,B1540,3640.69,CARD,0
PAY1141,B1018,2588.63,UPI,0
PAY1142,B1814,8653.51,UPI,0
PAY1143,B1391,10930.16,CARD,0
PAY1144,B1790,1700.5,CARD,0
PAY1145,B1628,1971.53,CARD,0
PAY1146,B1617,12237.51,CARD,0
PAY1147,B1418,12326.46,CARD,0
PAY1148,B1990,4434.27,NETBANKING,0
PAY1149,B1308,9613.19,UPI,0
PAY1150,B1738,7204.52,CARD,0
PAY1151,B1863,9857.74,NETBANKING,0
PAY1152,B1185,13080.31,CARD,0
PAY1153,B1260,2117.99,NETBANKING,0
PAY1154,B1527,11891.78,CARD,0
PAY1155,B1272,7902.41,UPI,0
PAY1156,B1159,8897.78,CARD,0
PAY1157,B1869,10155.04,CARD,0
PAY1158,B1761,13916.72,UPI,0
PAY1159,B1223,1794.08,UPI,0
PAY1160,B1255,1412.67,CARD,0
PAY1161,B1179,3495.66,UPI,0
PAY1162,B1019,14810.27,UPI,0
PAY1163,B1623,11011.07,NETBANKING,0
PAY1164,B1631,9604.98,UPI,0
PAY1165,B1705,1658.55,UPI,0
PAY1166,B1467,13307.54,CARD,0
PAY1167,B1622,12378.6,CARD,0
PAY1168,B1209,10307.2,NETBANKING,0
PAY1169,B1512,5747.83,CARD,0
PAY1170,B1057,1987.07,UPI,0
PAY1171,B1092,9120.54,UPI,0
PAY1172,B1220,11075.72,UPI,0
PAY1173,B1722,8018.55,CARD,0
PAY1174,B1939,9872.75,UPI,0
PAY1175,B1231,5009.12,UPI,0
PAY1176,B1773,11699.42,NETBANKING,0
PAY1177,B1363,8554.62,NETBANKING,0
PAY1178,B1614,2806.52,NETBANKING,0
PAY1179,B1561,8371.27,CARD,0
PAY1180,B1373,6540.32,UPI,0
PAY1181,B1621,3524.98,UPI,0
PAY1182,B1455,12781.22,UPI,0
PAY1183,B1087,1154.4,NETBANKING,0
PAY1184,B1019,9310.5,UPI,0
PAY1185,B1013,1176.33,UPI,0
PAY1186,B1132,2338.85,UPI,0
PAY1187,B1936,5159.35,UPI,0
PAY1188,B1807,1759.8,UPI,0
PAY1189,B1033,9352.83,CARD,0
PAY1190,B1891,2216.08,UPI,0
PAY1191,B1207,10823.99,CARD,0
PAY1192,B1812,1736.99,UPI,0
PAY1193,B1198,1830.32,CARD,0
PAY1194,B1591,5274.56,UPI,0
PAY1195,B1582,13552.0,UPI,0
PAY1196,B1154,9979.51,UPI,0
PAY1197,B1589,11781.84,UPI,0
PAY1198,B1077,2981.73,NETBANKING,0
PAY1199,B1171,12677.76,UPI,0
PAY1200,B1288,1114.05,CARD,0
PAY1201,B1544,3982.8,NETBANKING,0
PAY1202,B1811,9625.29,NETBANKING,0
PAY1203,B1787,6253.45,UPI,0
PAY1204,B1878,14778.71,CARD,0
PAY1205,B1419,1424.75,CARD,0
PAY1206,B1006,14980.37,NETBANKING,0
PAY1207,B1159,8481.38,CARD,0
PAY1208,B1239,8821.9,UPI,0
PAY1209,B1962,1833.17,UPI,0
PAY1210,B1422,4826.6,UPI,0
PAY1211,B1988,13945.28,UPI,0
PAY1212,B1535,5959.44,UPI,0
PAY1213,B1725,6856.34,NETBANKING,0
PAY1214,B1069,14992.95,UPI,0
PAY1215,B1879,4682.98,UPI,0
PAY1216,B1215,9065.13,NETBANKING,0
PAY1217,B1103,10750.13,NETBANKING,0
PAY1218,B1726,3304.78,NETBANKING,0
PAY1219,B1053,3081.42,CARD,0
PAY1220,B1805,8296.21,CARD,0
PAY1221,B1329,6401.38,UPI,0
PAY1222,B1847,10999.02,UPI,0
PAY1223,B1202,1973.12,UPI,0
PAY1224,B1287,14610.33,CARD,0
PAY1225,B1044,1199.88,UPI,0
PAY1226,B1828,9418.44,UPI,0
PAY1227,B1197,8876.86,CARD,0
PAY1228,B1215,2886.02,NETBANKING,0
PAY1229,B1480,3112.82,CARD,0
PAY1230,B1308,12097.48,UPI,0
PAY1231,B1895,13425.87,CARD,0
PAY1232,B1434,4962.24,NETBANKING,0
PAY1233,B1331,7131.5,NETBANKING,0
PAY1234,B1695,5969.93,NETBANKING,0
PAY1235,B1026,2015.66,NETBANKING,0
PAY1236,B1165,10424.86,NETBANKING,0
PAY1237,B1317,12552.7,NETBANKING,0
PAY1238,B1273,5268.31,UPI,0
PAY1239,B1382,14862.46,UPI,0
PAY1240,B1364,2061.92,CARD,0
PAY1241,B1102,10265.07,UPI,0
PAY1242,B1959,7275.19,NETBANKING,0
PAY1243,B1502,7252.43,UPI,0
PAY1244,B1844,7078.61,CARD,0
PAY1245,B1372,4621.54,NETBANKING,0
PAY1246,B1615,11017.88,UPI,0
PAY1247,B1925,11102.07,UPI,0
PAY1248,B1244,4953.56,CARD,0
PAY1249,B1816,4762.94,NETBANKING,0
PAY1250,B1168,5435.83,CARD,0
PAY1251,B1627,11151.3,NETBANKING,0
PAY1252,B1652,2694.0,NETBANKING,0
PAY1253,B1417,3361.82,UPI,0
PAY1254,B1355,5421.14,CARD,0
PAY1255,B1477,9314.23,CARD,0
PAY1256,B1124,7876.84,CARD,0
PAY1257,B1536,6548.99,NETBANKING,0
PAY1258,B1705,2089.75,CARD,0
PAY1259,B1895,6230.89,NETBANKING,0
PAY1260,B1611,10642.75,CARD,0
PAY1261,B1401,10393.94,CARD,0
PAY1262,B1516,3242.75,UPI,0
PAY1263,B1530,1108.98,CARD,0
PAY1264,B1681,11541.74,UPI,0
PAY1265,B1785,2489.15,UPI,0
PAY1266,B1253,2152.89,NETBANKING,0
PAY1267,B1120,1037.82,CARD,0
PAY1268,B1031,7056.42,CARD,0
PAY1269,B1660,5033.75,CARD,0
PAY1270,B1777,9927.3,UPI,0
PAY1271,B1036,5144.89,CARD,0
PAY1272,B1688,10945.95,NETBANKING,0
PAY1273,B1341,9263.24,NETBANKING,0
PAY1274,B1012,12647.86,CARD,0
PAY1275,B1182,9005.88,UPI,0
PAY1276,B1656,9174.46,NETBANKING,0
PAY1277,B1264,3936.86,NETBANKING,0
PAY1278,B1087,2037.52,UPI,0
PAY1279,B1939,7506.15,NETBANKING,0
PAY1280,B1461,9618.57,UPI,0
PAY1281,B1045,2330.65,NETBANKING,0
PAY1282,B1391,14307.48,UPI,0
PAY1283,B1118,8296.21,NETBANKING,0
PAY1284,B1932,8636.39,CARD,0
PAY1285,B1530,14300.97,NETBANKING,0
PAY1286,B1446,3512.23,NETBANKING,0
PAY1287,B1731,1355.89,CARD,0
PAY1288,B1941,1551.73,CARD,0
PAY1289,B1744,9225.17,CARD,0
PAY1290,B1605,8315.44,CARD,0
PAY1291,B1966,14419.64,UPI,0
PAY1292,B1762,2987.06,UPI,0
PAY1293,B1761,5266.12,NETBANKING,0
PAY1294,B1793,12515.25,NETBANKING,0
PAY1295,B1743,4062.36,NETBANKING,0
PAY1296,B1045,4401.56,UPI,0
PAY1297,B1885,9992.33,NETBANKING,0
PAY1298,B1507,4865.21,NETBANKING,0
PAY1299,B1557,4044.27,UPI,0
PAY1300,B1970,4558.49,NETBANKING,0
PAY1301,B1525,7869.06,UPI,0
PAY1302,B1596,14525.4,UPI,0
PAY1303,B1830,12651.33,CARD,0
PAY1304,B1839,4984.54,CARD,0
PAY1305,B1002,6087.22,UPI,0
PAY1306,B1027,7503.17,UPI,0
PAY1307,B1380,14705.02,CARD,0
PAY1308,B1156,3413.47,NETBANKING,0
PAY1309,B1854,6004.76,NETBANKING,0
PAY1310,B1913,11211.97,NETBANKING,0
PAY1311,B1930,1625.9,UPI,0
PAY1312,B1510,3179.45,CARD,0
PAY1313,B1332,4183.32,NETBANKING,0
PAY1314,B1843,4159.73,CARD,0
PAY1315,B1686,1293.05,CARD,0
PAY1316,B1113,9457.62,UPI,0
PAY1317,B1388,10389.84,NETBANKING,0
PAY1318,B1486,9435.36,CARD,0
PAY1319,B1842,1998.52,UPI,0
PAY1320,B1249,1969.22,UPI,0
PAY1321,B1570,3945.41,UPI,0
PAY1322,B1714,5064.12,NETBANKING,0
PAY1323,B1314,7529.51,NETBANKING,0
PAY1324,B1238,3231.46,UPI,0
PAY1325,B1233,1617.29,NETBANKING,0
PAY1326,B1302,6515.83,NETBANKING,0
PAY1327,B1606,6829.49,CARD,0
PAY1328,B1990,7197.35,UPI,0
PAY1329,B1652,12576.65,UPI,0
PAY1330,B1333,2372.08,NETBANKING,0
PAY1331,B1112,10855.19,UPI,0
PAY1332,B1620,5731.24,UPI,0
PAY1333,B1361,5339.72,UPI,0
PAY1334,B1856,14055.6,NETBANKING,0
PAY1335,B1800,4478.56,NETBANKING,0
PAY1336,B1096,9995.45,NETBANKING,0
PAY1337,B1957,4851.79,CARD,0
PAY1338,B1846,8100.01,UPI,0
PAY1339,B1015,12008.1,CARD,0
PAY1340,B1555,13344.12,NETBANKING,0
PAY1341,B1953,12741.76,CARD,0
PAY1342,B1375,9150.53,UPI,0
PAY1343,B1741,4483.43,UPI,0
PAY1344,B1389,8431.32,NETBANKING,0
PAY1345,B1619,10938.67,NETBANKING,0
PAY1346,B1216,1149.69,CARD,0
PAY1347,B1398,7148.95,NETBANKING,0
PAY1348,B1259,12805.67,CARD,0
PAY1349,B1823,7854.23,UPI,0
PAY1350,B1319,5359.26,UPI,0
PAY1351,B1195,13205.17,UPI,0
PAY1352,B1477,3182.33,UPI,0
PAY1353,B1417,3890.23,UPI,0
PAY1354,B1474,10623.21,CARD,0
PAY1355,B1606,5934.1,UPI,0
PAY1356,B1567,10982.24,CARD,0
PAY1357,B1543,3207.85,UPI,0
PAY1358,B1230,4531.77,CARD,0
PAY1359,B1883,3193.06,CARD,0
PAY1360,B1520,14340.74,CARD,0
PAY1361,B1702,13329.36,NETBANKING,0
PAY1362,B1872,5721.08,CARD,0
PAY1363,B1199,1198.83,CARD,0
PAY1364,B1845,3147.85,UPI,0
PAY1365,B1672,6895.9,CARD,0
PAY1366,B1598,1959.04,CARD,0
PAY1367,B1020,8150.35,NETBANKING,0
PAY1368,B1310,7370.22,UPI,0
PAY1369,B1587,11740.35,NETBANKING,0
PAY1370,B1952,10237.24,NETBANKING,0
PAY1371,B1897,7243.26,NETBANKING,0
PAY1372,B1652,4145.25,CARD,0
PAY1373,B1637,11176.09,NETBANKING,0
PAY1374,B1762,10910.07,NETBANKING,0
PAY1375,B1899,3146.15,UPI,0
PAY1376,B1595,13806.53,UPI,0
PAY1377,B1433,1901.67,UPI,0
PAY1378,B1370,1770.53,UPI,0
PAY1379,B1559,3622.91,NETBANKING,0
PAY1380,B1890,13732.45,UPI,0
PAY1381,B1077,8279.97,CARD,0
PAY1382,B1541,12031.17,NETBANKING,0
PAY1383,B1284,4189.8,UPI,0
PAY1384,B1647,7863.11,NETBANKING,0
PAY1385,B1139,6016.05,UPI,0
PAY1386,B1552,12589.6,NETBANKING,0
PAY1387,B1997,8067.25,UPI,0
PAY1388,B1281,4413.8,CARD,0
PAY1389,B1561,3136.04,UPI,0
PAY1390,B1257,13028.65,NETBANKING,0
PAY1391,B1822,7545.61,NETBANKING,0
PAY1392,B1359,7188.94,CARD,0
PAY1393,B1439,7292.76,NETBANKING,0
PAY1394,B1269,14606.94,CARD,0
PAY1395,B1133,12903.74,NETBANKING,0
PAY1396,B1745,10889.16,NETBANKING,0
PAY1397,B1639,5066.71,CARD,0
PAY1398,B1103,3312.42,NETBANKING,0
PAY1399,B1765,13900.07,NETBANKING,0
PAY1400,B1094,6923.06,CARD,0
PAY1401,B1848,4902.58,UPI,0
PAY1402,B1728,7592.89,CARD,0
PAY1403,B1572,13849.86,NETBANKING,0
PAY1404,B1479,6418.94,UPI,0
PAY1405,B1779,8876.97,UPI,0
PAY1406,B1240,12241.53,UPI,0
PAY1407,B1012,6979.86,CARD,0
PAY1408,B1146,7239.37,UPI,0
PAY1409,B1939,14923.36,UPI,0
PAY1410,B1751,14391.99,UPI,0
PAY1411,B1600,12808.71,NETBANKING,0
PAY1412,B1094,10637.23,CARD,0
PAY1413,B1826,5128.12,CARD,0
PAY1414,B1292,13787.78,NETBANKING,0
PAY1415,B1024,4857.79,UPI,0
PAY1416,B1271,12211.33,NETBANKING,0
PAY1417,B1504,13855.61,NETBANKING,0
PAY1418,B1165,9442.05,UPI,0
PAY1419,B1938,12242.79,UPI,0
PAY1420,B1761,12083.73,CARD,0
PAY1421,B1086,3704.21,UPI,0
PAY1422,B1653,10350.94,NETBANKING,0
PAY1423,B1645,2308.55,NETBANKING,0
PAY1424,B1984,8109.9,UPI,0
PAY1425,B1790,3271.3,CARD,0
PAY1426,B1637,6828.89,NETBANKING,0
PAY1427,B1827,12661.75,UPI,0
PAY1428,B1490,1217.88,CARD,0
PAY1429,B1907,5451.44,CARD,0
PAY1430,B1140,8447.38,NETBANKING,0
PAY1431,B1867,8158.17,NETBANKING,0
PAY1432,B1102,14361.62,CARD,0
PAY1433,B1225,3894.65,CARD,0
PAY1434,B1901,10787.49,CARD,0
PAY1435,B1574,13905.05,UPI,0
PAY1436,B1293,6227.3,NETBANKING,0
PAY1437,B1895,13629.71,CARD,0
PAY1438,B1305,13844.39,NETBANKING,0
PAY1439,B1253,14029.28,NETBANKING,0
PAY1440,B1179,4786.25,NETBANKING,0
PAY1441,B1039,6604.98,CARD,0
PAY1442,B1775,13185.54,UPI,0
PAY1443,B1700,6028.27,CARD,0
PAY1444,B1519,9403.54,NETBANKING,0
PAY1445,B1615,2652.76,CARD,0
PAY1446,B1736,1787.85,CARD,0
PAY1447,B1545,6767.92,NETBANKING,0
PAY1448,B1235,1236.74,NETBANKING,0
PAY1449,B1462,6497.79,CARD,0
PAY1450,B1227,6997.2,CARD,0
PAY1451,B1699,8211.18,CARD,0
PAY1452,B1824,10599.9,CARD,0
PAY1453,B1482,10093.45,UPI,0
PAY1454,B1429,6939.44,CARD,0
PAY1455,B1021,6949.93,UPI,0
PAY1456,B1342,9501.64,NETBANKING,0
PAY1457,B1039,8185.34,UPI,0
PAY1458,B1172,9220.51,NETBANKING,0
PAY1459,B1438,7670.85,UPI,0
PAY1460,B1178,8315.44,NETBANKING,0
PAY1461,B1597,11103.08,CARD,0
PAY1462,B1132,2045.26,UPI,0
PAY1463,B1350,13802.17,UPI,0
PAY1464,B1524,1289.01,NETBANKING,0
PAY1465,B1539,14472.9,NETBANKING,0
PAY1466,B1505,7472.98,UPI,0
PAY1467,B1083,6777.38,NETBANKING,0
PAY1468,B1992,4590.22,CARD,0
PAY1469,B1463,1141.0,UPI,0
PAY1470,B1829,4847.06,CARD,0
PAY1471,B1860,2531.6,UPI,0
PAY1472,B1342,10237.49,CARD,0
PAY1473,B1279,5467.05,UPI,0
PAY1474,B1865,11740.51,NETBANKING,0
PAY1475,B1262,3896.83,UPI,0
PAY1476,B1165,13603.29,CARD,0
PAY1477,B1292,8321.74,UPI,0
PAY1478,B1508,2603.09,CARD,0
PAY1479,B1579,6611.83,CARD,0
PAY1480,B1225,3894.65,CARD,0
PAY1481,B1169,3795.6,NETBANKING,0
PAY1482,B1597,8089.18,UPI,0
PAY1483,B1644,10406.49,CARD,0
PAY1484,B1447,13762.65,NETBANKING,0
PAY1485,B1689,8030.27,CARD,0
PAY1486,B1854,14521.74,UPI,0
PAY1487,B1501,14182.89,NETBANKING,0
PAY1488,B1763,8067.25,CARD,0
PAY1489,B1526,7999.68,CARD,0
PAY1490,B1734,2972.66,CARD,0
PAY1491,B1378,4050.66,UPI,0
PAY1492,B1200,10067.38,NETBANKING,0
PAY1493,B1618,6904.57,NETBANKING,0
PAY1494,B1249,3055.22,NETBANKING,0
PAY1495,B1948,7705.92,CARD,0
PAY1496,B1408,1244.03,NETBANKING,0
PAY1497,B1600,11274.54,CARD,0
PAY1498,B1124,2030.14,UPI,0
PAY1499,B1112,9807.59,NETBANKING,0
PAY1500,B1980,12102.14,CARD,0
PAY1501,B1136,2857.01,NETBANKING,0
PAY1502,B1758,8260.94,NETBANKING,0
PAY1503,B1495,11906.95,UPI,0
PAY1504,B1677,4648.87,NETBANKING,0
PAY1505,B1149,3280.83,UPI,0
PAY1506,B1874,5715.47,NETBANKING,0
PAY1507,B1342,8765.79,NETBANKING,0
PAY1508,B1944,9053.91,NETBANKING,0
PAY1509,B1579,2832.27,NETBANKING,0
PAY1510,B1732,7405.96,NETBANKING,0
PAY1511,B1782,4755.95,NETBANKING,0
PAY1512,B1320,12788.34,UPI,0
PAY1513,B1821,5390.05,UPI,0
PAY1514,B1925,12741.86,CARD,0
PAY1515,B1860,6999.9,NETBANKING,0
PAY1516,B1531,11172.2,UPI,0
PAY1517,B1288,8140.84,NETBANKING,0
PAY1518,B1488,9707.48,NETBANKING,0
PAY1519,B1491,6534.99,UPI,0
PAY1520,B1611,11754.89,NETBANKING,0
PAY1521,B1251,6952.65,UPI,0
PAY1522,B1981,7404.46,UPI,0
PAY1523,B1076,8247.5,CARD,0
PAY1524,B1646,12645.54,CARD,0
PAY1525,B1391,10231.31,CARD,0
PAY1526,B1411,5888.25,CARD,0
PAY1527,B1172,10384.47,NETBANKING,0
PAY1528,B1874,9993.97,NETBANKING,0
PAY1529,B1200,14034.27,CARD,0
PAY1530,B1216,12779.83,UPI,0
PAY1531,B1375,10064.26,UPI,0
PAY1532,B1719,5781.1,UPI,0
PAY1533,B1585,11914.07,UPI,0
PAY1534,B1010,8538.24,NETBANKING,0
PAY1535,B1798,14793.78,UPI,0
PAY1536,B1767,4465.09,UPI,0
PAY1537,B1011,2115.18,CARD,0
PAY1538,B1891,1978.49,UPI,0
PAY1539,B1990,9960.43,NETBANKING,0
PAY1540,B1589,14149.64,UPI,0
PAY1541,B1434,1027.05,UPI,0
PAY1542,B1683,11160.79,NETBANKING,0
PAY1543,B1607,10198.91,CARD,0
PAY1544,B1817,11252.26,NETBANKING,0
PAY1545,B1372,5975.68,CARD,0
PAY1546,B1272,12486.95,UPI,0
PAY1547,B1930,1625.9,CARD,0
PAY1548,B1896,8014.48,CARD,0
PAY1549,B1924,4739.01,CARD,0
PAY1550,B1690,7675.73,UPI,0
PAY1551,B1575,12516.91,CARD,0
PAY1552,B1508,4799.03,CARD,0
PAY1553,B1131,3592.91,UPI,0
PAY1554,B1854,10538.38,NETBANKING,0
PAY1555,B1923,8467.53,NETBANKING,0
PAY1556,B1783,8201.65,NETBANKING,0
PAY1557,B1318,4594.77,UPI,0
PAY1558,B1843,1488.32,UPI,0
PAY1559,B1948,6743.77,NETBANKING,0
PAY1560,B1852,2491.83,CARD,0
PAY1561,B1620,13683.85,NETBANKING,0
PAY1562,B1784,1577.5,UPI,0
PAY1563,B1167,7043.11,CARD,0
PAY1564,B1396,1731.44,CARD,0
PAY1565,B1179,2337.61,UPI,0
PAY1566,B1057,10224.13,CARD,0
PAY1567,B1479,10059.56,NETBANKING,0
PAY1568,B1932,8636.39,UPI,0
PAY1569,B1590,1015.84,UPI,0
PAY1570,B1459,2103.45,UPI,0
PAY1571,B1060,11681.98,UPI,0
PAY1572,B1368,9184.07,CARD,0
PAY1573,B1120,1533.66,UPI,0
PAY1574,B1718,7833.36,UPI,0
PAY1575,B1545,10968.41,CARD,0
PAY1576,B1581,9514.99,UPI,0
PAY1577,B1016,14076.51,CARD,0
PAY1578,B1495,5584.17,CARD,0
PAY1579,B1496,2901.65,UPI,0
PAY1580,B1504,4316.96,NETBANKING,0
PAY1581,B1531,11955.61,UPI,0
PAY1582,B1968,14600.78,NETBANKING,0
PAY1583,B1314,7529.51,CARD,0
PAY1584,B1068,5274.94,NETBANKING,0
PAY1585,B1726,7008.67,UPI,0
PAY1586,B1160,5267.38,UPI,0
PAY1587,B1613,4590.83,NETBANKING,0
PAY1588,B1887,9312.51,UPI,0
PAY1589,B1717,1220.3,NETBANKING,0
PAY1590,B1144,6844.07,CARD,0
PAY1591,B1568,7083.8,NETBANKING,0
PAY1592,B1594,1448.88,NETBANKING,0
PAY1593,B1992,2164.83,NETBANKING,0
PAY1594,B1384,5107.55,NETBANKING,0
PAY1595,B1268,13289.27,CARD,0
PAY1596,B1922,11708.41,CARD,0
PAY1597,B1453,1310.19,CARD,0
PAY1598,B1698,8023.98,NETBANKING,0
PAY1599,B1517,7546.81,CARD,0
PAY1600,B1864,10081.04,UPI,0
PAY1601,B1349,11101.75,CARD,0
PAY1602,B1109,13080.08,NETBANKING,0
PAY1603,B1482,7655.83,UPI,0
PAY1604,B1406,14922.3,NETBANKING,0
PAY1605,B1649,14719.81,UPI,0
PAY1606,B1050,13350.33,NETBANKING,0
PAY1607,B1402,9048.17,NETBANKING,0
PAY1608,B1562,6572.09,UPI,0
PAY1609,B1475,6101.41,CARD,0
PAY1610,B1086,1169.75,UPI,0
PAY1611,B1067,4488.44,UPI,0
PAY1612,B1595,11063.32,UPI,0
PAY1613,B1978,9450.85,UPI,0
PAY1614,B1041,13829.91,UPI,0
PAY1615,B1730,7682.49,NETBANKING,0
PAY1616,B1056,3173.87,NETBANKING,0
PAY1617,B1737,12049.41,CARD,0
PAY1618,B1195,6019.11,CARD,0
PAY1619,B1759,2656.83,UPI,0
PAY1620,B1677,14950.31,CARD,0
PAY1621,B1061,12021.5,CARD,0
PAY1622,B1262,6722.37,UPI,0
PAY1623,B1111,8996.71,NETBANKING,0
PAY1624,B1764,10528.45,NETBANKING,0
PAY1625,B1710,12059.65,CARD,0
PAY1626,B1177,12412.89,NETBANKING,0
PAY1627,B1947,2186.2,NETBANKING,0
PAY1628,B1025,9721.62,CARD,0
PAY1629,B1409,1095.0,UPI,0
PAY1630,B1757,1608.39,CARD,0
PAY1631,B1530,13655.72,CARD,0
PAY1632,B1776,8385.89,CARD,0
PAY1633,B1316,11302.63,UPI,0
PAY1634,B1531,12739.01,UPI,0
